tunit_code,tunit_name,y_2014
NO01,Oslo og Akershus,2328269
NO02,Hedmark og Oppland,560430
NO03,Sor-Ostlandet,1812733
NO04,Agder og Rogaland,1622363
NO05,Vestlandet,1769867
NO06,Trondelag,843831
NO07,Nord-Norge,716349
PL11,Lodzkie,4853770
PL12,Mazowieckie,13454363
PL21,Malopolskie,6547852
PL22,Slaskie,9953576
PL31,Lubelskie,3289974
PL32,Podkarpackie,3586770
PL33,Swietokrzyskie,2194419
PL34,Podlaskie,1714680
PL41,Wielkopolskie,7357121
PL42,Zachodniopomorskie,2793960
PL43,Lubuskie,1871667
PL51,Dolnoslaskie,5884817
PL52,Opolskie,1532240
PL61,Kujawsko-Pomorskie,3707501
PL62,Warminsko-Mazurskie,2376429
PL63,Pomorskie,4102615
PT11,Norte,4054878
PT15,Algarve,346112
PT16,Centro (PT),2923643
PT17,Area Metropolitana de Lisboa,3606648
PT18,Alentejo,811560
PT20, ,222405
PT30,Regiao Autonoma da Madeira,348984
RO11,Nord-Vest,3013798
RO12,Centru,2549812
RO21,Nord-Est,3527807
RO22, ,2139822
RO31,Sud - Muntenia,3120614
RO32,Bucuresti - Ilfov,2529002
RO41,Sud-Vest Oltenia,1685118
RO42,Vest,2257575
SE11,Stockholm,4220711
SE12,Ostra Mellansverige,3190177
SE21,Smaland med oarna,1544351
SE22,Sydsverige,2781437
SE23,Vastsverige,3561788
SE31,Norra Mellansverige,1687522
SE32,Mellersta Norrland,668337
SE33,Ovre Norrland,781340
SI03, ,1517762
SI04,Zahodna Slovenija,1790232
SK01, ,681221
SK02,Zapadne Slovensko,1910321
SK03,Stredne Slovensko,1510864
SK04,Vychodne Slovensko,1365782
UKC1, ,1679404
UKC2,Northumberland and Tyne And Wear,2235050
UKD1,Cumbria,855299
UKD3,Greater Manchester,4781230
UKD4,Lancashire,2461220
UKD6,Cheshire,1695988
UKD7,Merseyside,2341898
UKE1,East Yorkshire and Northern Lincolnshire,1505567
UKE2,North Yorkshire,1302981
UKE3,South Yorkshire,2172638
UKE4,West Yorkshire,3766116
