,tunit_code,tunit_name,y_2006,y_2014,dif
130,FR21,Champagne-Ardenne,2351000,1916472,-434528
131,FR22,Picardie,3015507,2683256,-332251
132,FR23,Haute-Normandie,3291375,2672306,-619069
133,FR24,Centre,4113737,3585631,-528106
134,FR25,Basse-Normandie,2242982,2128391,-114591
135,FR26,Bourgogne,2668426,2453334,-215092
136,FR30,Nord - Pas-de-Calais,6273277,5674740,-598537
137,FR41,Lorraine,3879345,3223022,-656323
138,FR42,Alsace,3055856,2721720,-334136
139,FR43,Franche-Comte,1983651,1615835,-367816
140,FR51,Pays de la Loire,5094130,5321123,226993
141,FR52,Bretagne,4268152,4711788,443636
142,FR53,Poitou-Charentes,2349178,2460742,111564
143,FR61,Aquitaine,4781399,5042126,260727
144,FR62,Midi-Pyrenees,4219754,4350329,130575
145,FR63,Limousin,1148486,995206,-153280
146,FR71,Rhone-Alpes,9790592,9665323,-125269
147,FR72,Auvergne,2053516,1946199,-107317
148,FR81,Languedoc-Roussillon,3369219,3548385,179166
149,FR82,Provence-Alpes-Cote d'Azur,6201090,7112828,911738
150,FR83,Corse,535466,365364,-170102
156,HR03, ,1617027,853729,-763298
157,HR04,Kontinentalna Hrvatska,3105342,2209667,-895675
158,HU10,Kozep-Magyarorszag,4450000,4415053,-34947
159,HU21,Kozep-Dunantul,2283124,1157355,-1125769
160,HU22,Nyugat-Dunantul,2353758,1088929,-1264829
161,HU23, ,1088949,997776,-91173
162,HU31,Eszak-Magyarorszag,2042358,1209405,-832953
163,HU32,Eszak-Alfold,1967102,1619235,-347867
164,HU33,Del-Alfold,1842144,1485923,-356221
165,IE01,"Border, Midland and Western",1634931,1463164,-171767
166,IE02,Southern and Eastern,3656633,6296939,2640306
167,IS00,Island,375815,410394,34579
168,ITC1,Piemonte,7437185,8327235,890050
169,ITC2,Valle d'Aosta/Vallee D'Aoste,429716,259642,-170074
170,ITC3,Liguria,2963317,3120442,157125
171,ITC4,Lombardia,19017133,20753739,1736606
172,ITF1,Abruzzo,2114367,2594476,480109
173,ITF2,Molise,480537,422971,-57566
174,ITF3,Campania,6534155,10042693,3508538
175,ITF4,Puglia,4919242,6002694,1083452
176,ITF5,Basilicata,1663599,998727,-664872
177,ITF6,Calabria,2587641,1934456,-653185
178,ITG1,Sicilia,5696959,6399338,702379
179,ITG2, ,2556208,1694403,-861805
180,ITH1, ,1044637,963731,-80906
181,ITH2,Provincia Autonoma di Trento,877685,1112237,234552
182,ITH3,Veneto,10407397,9993309,-414088
183,ITH4,Friuli-Venezia Giulia,2748940,2497297,-251643
184,ITH5,Emilia-Romagna,11530604,9334458,-2196146
185,ITI1,Toscana,8571848,7017503,-1554345
186,ITI2,Umbria,2115386,1695174,-420212
187,ITI3,Marche,3580384,2650495,-929889
188,ITI4,Lazio,6948853,9890068,2941215
190,LT00,Lietuva,5625877,3280039,-2345838
191,LU00,Luxembourg,1391433,899383,-492050
192,LV00,Latvija,1724208,1995992,271784
195,MT00,Malta,363271,411012,47741
196,NL11,Groningen,5753180,3210157,-2543023
197,NL12,Friesland (NL),1723625,1294705,-428920
198,NL13,Drenthe,1551136,1047873,-503263
199,NL21,Overijssel,2602507,3122069,519562
200,NL22,Gelderland,4311584,4827634,516050
